uniq_id,name_title,description,list_price,sale_price,average_product_rating,product_url,product_image_urls,brand
b6c0b6bea69c722939585baeac73c13d,Alfred Dunnerå¨ Essential Pull On Capri Pant,"You'll return to our Alfred Dunner pull-on capris again and again when you want an updated, casual look and all the comfort you love. åÊ elastic waistband approx. 19-21"" inseam slash pockets polyester washable imported åÊ åÊ åÊ",41.09,24.16,4.7 out of 5,http://www.jcpenney.com/alfred-dunner-essential-pull-on-capri-pant/prod.jump?ppId=pp5006380337&catId=cat1002110079&&_dyncharset=UTF-8&urlState=/women/shop-brands/alfred-dunner/yellow/_/N-gkmp33Z132/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP1228201517142050M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Alfred Dunner
5abf9d28e9e0404369ece10807d99d0e,Alfred Dunnerå¨ Feels Like Spring Capris,"Pull on a pair of our casual capris and be footloose and fancy-free. flat front straight leg high rise back elastic side pockets 16 7/8-19"" inseam cotton/polyester/spandex washable imported",58.01,34.81,4.6 out of 5,http://www.jcpenney.com/alfred-dunner-feels-like-spring-capris/prod.jump?ppId=pp5006790242&catId=cat100260316&&_dyncharset=UTF-8&urlState=/women/shop-clothing/shorts-capris/capris-crops/beige/_/N-1noxcsZ137/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP0226201617031154M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Alfred Dunner
3c291110238ee460390c7002e4622ade,Alfred Dunnerå¨ Feels Like Spring Short-Sleeve Burnout Top and Necklace,"Timeless and stylish, our short-sleeve burnout top is an easy choice for looking your best. A coordinating necklace completes the look. includes necklace crewneck short sleeves shell: rayon/polyester inner: polyester washable imported",72.52,43.51,,http://www.jcpenney.com/alfred-dunner-feels-like-spring-short-sleeve-burnout-top-and-necklace/prod.jump?ppId=pp5006790695&catId=cat100210006&&_dyncharset=UTF-8&urlState=/women/shop-clothing/tops/16/_/N-1nnujaZ9m/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP0226201617031207M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Alfred Dunner
be7764fc14845ec35d5e1633835040fe,Alfred Dunnerå¨ Feels Like Spring Short Sleeve Chevron Texture 2Fer Shirt,"With chic chevron pattern, our short-sleeve layered shirt is sure to become an easy favorite. crewneck short sleeves 25"" length polyester washable imported",74.93,56.2,,http://www.jcpenney.com/alfred-dunner-feels-like-spring-short-sleeve-chevron-texture-2fer-shirt/prod.jump?ppId=pp5006790780&catId=cat1002310017&&_dyncharset=UTF-8&urlState=/women/specialty-sizing/petites/shop-brands/alfred-dunner/petite-small/_/N-gkqzcxZ1z13yon/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP0229201617053098M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Alfred Dunner
36f3fd5978ed6e8a87908a942bab3777,Danny & Nicoleå¨ Sleeveless Lace Fit-and-Flare Dress,"Featuring mixed fabrics and a figure-flattering silhouette, our sleeveless lace fit-and-flare dress is anything but ordinary. scoopneck back zip 40"" length from shoulder cotton/nylon/polyester/spandex polyester lining hand wash, line dry imported",87.02,48.33,5 out of 5,http://www.jcpenney.com/danny-nicole-sleeveless-lace-fit-and-flare-dress/prod.jump?ppId=pp5006790548&catId=cat1002520005&&_dyncharset=UTF-8&urlState=/women/shop-clothing/dresses/lace-dresses/black/_/N-gkvhdxZ12z/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP0302201617032873M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Danny & Nicole
fe031e524ec46b8654c581b11d9bffc1,Danny & Nicoleå¨ Sleeveless Lace Fit-and-Flare Dress,"Elegant and flattering, you'll love showing off in our lace fit-and-flare dress. scoopneck back zipper sleeveless 37å_"" length from shoulder nylon/cotton polyester lining hand wash, line dry imported",87.02,60.42,5 out of 5,http://www.jcpenney.com/danny-nicole-sleeveless-lace-fit-and-flare-dress/prod.jump?ppId=pp5007090115&catId=cat100210008&&_dyncharset=UTF-8&urlState=/women/shop-clothing/dresses/scroll/_/N-1nnujcZ1z141i4/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP0406201617043640M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Danny & Nicole
0e4defab33c9938ea1d39db83ace7ed3,Danny & Nicoleå¨ Sleeveless Lace Vertical Seam Fit-and-Flare Dress,"Look darling in our sleeveless lace fit-and-flare dress, perfect for all your warm-weather gatherings. roundneck sleeveless exposed back zipper 38"" length from shoulder lined lace polyester hand wash, line dry imported",87.02,60.42,5 out of 5,http://www.jcpenney.com/danny-nicole-sleeveless-lace-vertical-seam-fit-and-flare-dress/prod.jump?ppId=pp5007010088&catId=cat1005030100&&_dyncharset=UTF-8&urlState=/women/hidden-categories/church-dresses/lace/_/N-gmda6sZ1z141lg/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP0329201617030422M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Danny & Nicole
30fb0695f579914d85ba7ce2a3ed3c19,Danny & Nicoleå¨ Sleeveless Mesh Shantung Polka Dot Fit-and-Flare Dress - Petite,"Our absolutely charming fit-and-flare dress sings with plucky polka dots and a mesh yoke that's unstoppable. åÊ scoopneck sleeveless exposed back zipper belt included approx. 36å_"" length from shoulder lined polyester mesh yoke: polyester/spandex taffeta lining: polyester dry clean only imported",87.02,42.29,5 out of 5,http://www.jcpenney.com/danny-nicole-sleeveless-mesh-shantung-polka-dot-fit-and-flare-dress-petite/prod.jump?ppId=pp5006334416&catId=cat1005670041&&_dyncharset=UTF-8&urlState=/women/specialty-sizing/petites/shop-clothing/dresses/fit-and-flare/12-petite/_/N-gmqzyxZ1z1407r/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP1215201517063080M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Danny & Nicole
8056738ccd769ed459febd2fafe5dc3b,Danny & Nicoleå¨ Sleeveless Polka Dot Chiffon Maxi Dress,"Timeless polka dots and a flirty front keyhole give our sleeveless maxi dress the chic charm you adore. scoopneck sleeveless exposed back zipper 58"" length from shoulder lined chiffon polyester machine wash, line dry imported",103.94,60.42,4 out of 5,http://www.jcpenney.com/danny-nicole-sleeveless-polka-dot-chiffon-maxi-dress/prod.jump?ppId=pp5006790562&catId=cat1005140022&&_dyncharset=UTF-8&urlState=/women/hidden-categories/danny-nicole/_/N-gmfn06Z1b8/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP0225201617014306M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Danny & Nicole
84792abb02bf781ac8171d8360f1e19c,Danny & Nicoleå¨ Sleeveless Polka Dot Fit-and-Flare Dress - Petite,"Capture the casual elegance of the past in our modern fit-and-flare dress. roundneck sleeveless 35‰Éù"" length from shoulder invisible zipper in back polyester dry clean only imported",87.02,42.29,4 out of 5,http://www.jcpenney.com/danny-nicole-sleeveless-polka-dot-fit-and-flare-dress-petite/prod.jump?ppId=pp5006292203&catId=cat1005870012&&_dyncharset=UTF-8&urlState=/women/shop-clothing/dresses/fit-and-flare-dresses/4-petite/_/N-gmva9oZ1z1407v/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP1119201517042571M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Danny & Nicole
